Technology,Power_TWh,Heat_TWh,H2_TWh,Capacity_GW,TotalCost_MiEUR,Emissions_MtCO2e
SolarPV,141.4,0.0,0.0,100.0,0.0,100.33744
WindOnshore,186.588,0.0,0.0,71.0,0.0,0.0
WindOffshore,70.08,0.0,0.0,20.0,0.0,0.0
Hydro,13.1838,0.0,0.0,4.3,0.0,0.3823302
BiomassCHP,11.825999999999999,21.680999999999997,0.0,7.5,0.0,30.477967200000002
CoalMine,0.0,0.0,0.0,57.142857142857146,0.0,70.0
GasExtractor,0.0,0.0,0.0,213.71428571428572,0.0,29.172
CoalPowerPlant,0.0,0.0,0.0,0.0,0.0,0.0
GasPowerPlant,70.0,0.0,0.0,37.0,16099.999999999998,4.62
CoalCHPPlant,140.0,60.0,0.0,73.98951462878405,26000.0,3.4000000000000004
GasCHPPlant,0.0,588.0,0.0,254.2548775425488,135240.0,106.78080000000001
Power2Heat,0.0,23.0778,0.0,12.146210526315791,0.0,0.0
CoalGazification,0.0,0.0,0.0,0.0,0.0,0.0
SteamMethaneReforming,0.0,0.0,90.0,32.14285714285714,5405.4,1.7100000000000002
Electrolysis,0.0,0.0,0.0,0.0,0.0,0.0
