Technology,Power_TWh,Heat_TWh,H2_TWh,Capacity_GW,MaxCapacity_GW,Cost_MiEUR,Emissions_MtCO2e
SolarPV,131.4,0.0,0.0,100.0,100.0,0.0,3.8106000000000004
WindOnshore,186.588,0.0,0.0,71.0,71.0,0.0,2.79882
WindOffshore,70.08,0.0,0.0,20.0,20.0,0.0,1.19136
Hydro,13.1838,0.0,0.0,4.3,4.3,0.0,0.2504922
BiomassCHP,0.0,21.680999999999997,0.0,7.5,7.5,0.0,4.98663
CoalMine,0.0,0.0,0.0,0.0,Inf,0.0,0.0
GasExtractor,0.0,0.0,0.0,367.31369863013697,Inf,0.0,0.0
CoalPowerPlant,0.0,0.0,0.0,0.0,Inf,0.0,0.0
GasPowerPlant,0.0,0.0,0.0,0.0,Inf,0.0,0.0
CoalCHPPlant,0.0,0.0,0.0,0.0,Inf,-0.0,-0.0
GasCHPPlant,0.0,588.0,0.0,254.25487754254874,Inf,135240.0,106.78080000000001
Power2Heat,0.0,490.31899999999996,0.0,235.67363614515742,Inf,0.0,171.61165
CoalGazification,0.0,0.0,0.0,0.0,Inf,0.0,0.0
SteamMethaneReforming,0.0,0.0,699.0672,228.00626223091976,Inf,41985.976032,27.2636208
Electrolysis,0.0,0.0,0.0,0.0,Inf,0.0,0.0
FuelCell,699.0672,0.0,0.0,221.67275494672757,Inf,16008.638879999999,0.0
,,,,,,,
UnservedDemand,0.0,0.0,0.0,,,,
Demand,610.0,1100.0,0.0,,,,
